screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE - 240B FRAME	rect	1	328	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	346	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	328	1	18	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	797	328	1	18	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	472	328	1	18	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	666	328	1	18	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	1	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	15	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	35	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	51	796	1	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	1	1	1	50	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	797	1	1	50	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	106	35	1	16	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	60	54	1	274	1	2573	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	472	54	1	274	1	2573	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	106	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	179	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	232	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	325	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	408	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	481	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	564	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	627	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	670	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	712	1	1	34	1	11053224	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	14	0	0	1	11053224	-1	0	1	enable	BAUD
SERIAL DECODE - 240B FRAME	text	8	33	0	0	2	4259648	-1	0	1	enable	19200
SERIAL DECODE - 240B FRAME	text	115	14	0	0	1	11053224	-1	0	1	enable	FORMAT
SERIAL DECODE - 240B FRAME	text	115	33	0	0	2	4259648	-1	0	1	enable	8N1
SERIAL DECODE - 240B FRAME	text	188	14	0	0	1	11053224	-1	0	1	enable	IDLE
SERIAL DECODE - 240B FRAME	text	188	32	0	0	1	4259648	-1	0	1	enable	HIGH
SERIAL DECODE - 240B FRAME	text	241	14	0	0	1	11053224	-1	0	1	enable	LOGIC
SERIAL DECODE - 240B FRAME	text	241	32	0	0	1	16777215	-1	0	1	enable	6.0Vpp
SERIAL DECODE - 240B FRAME	text	334	14	0	0	1	11053224	-1	0	1	enable	THRESH
