screen	kind	x	y	w	h	font	color	fill	text
SERIAL PROTOCOL DECODE	text	8	246	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	56	246	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	448	246	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	8	264	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	56	264	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	448	264	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	8	282	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	56	282	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	448	282	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	8	300	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	56	300	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	448	300	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	8	318	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	56	318	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	448	318	0	0	1	16777215	-1	
SERIAL PROTOCOL DECODE	rect	778	66	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	84	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	102	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	120	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	138	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	156	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	174	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	192	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	210	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	228	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	246	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	264	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	282	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	300	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	rect	778	318	12	17	1	16777215	56575	
SERIAL PROTOCOL DECODE	text	8	342	0	0	1	11579568	-1	32 kB  ready -- max 32768 bytes, to a file
SERIAL PROTOCOL DECODE	text	430	342	0	0	1	11579568	-1	Mode=Exit to FRAME
SERIAL PROTOCOL DECODE	rect	662	339	128	20	1	16777215	-1	
SERIAL PROTOCOL DECODE	text	669	342	0	0	1	16760832	-1	EXT TRIG
SERIAL PROTOCOL DECODE	button	8	362	120	0	1	16777215	-1	Capture
SERIAL PROTOCOL DECODE	button	152	362	90	0	1	16777215	-1	View
SERIAL PROTOCOL DECODE	button	266	362	100	0	1	16777215	-1	Mode
SERIAL PROTOCOL DECODE	button	390	362	112	0	1	16777215	-1	NewLog
SERIAL PROTOCOL DECODE	button	526	362	112	0	1	16777215	-1	Save USB
SERIAL PROTOCOL DECODE	button	662	362	112	0	1	16777215	-1	Options
SERIAL DECODE OPTIONS	editopt	270	8	0	0	1	16777215	-1	Protocol	sets the wire parameters	UART / async
SERIAL DECODE OPTIONS	editnum	270	60	0	0	1	16777215	-1	Baud Rate	0 = auto-detect	0 Bd
SERIAL DECODE OPTIONS	editopt	270	112	0	0	1	16777215	-1	Data Bits	auto, or fix it	Auto (7/8)
SERIAL DECODE OPTIONS	editopt	270	164	0	0	1	16777215	-1	Parity	auto or fixed	Auto
SERIAL DECODE OPTIONS	editopt	270	216	0	0	1	16777215	-1	Polarity	idle level	Auto
SERIAL DECODE OPTIONS	editopt	270	268	0	0	1	16777215	-1	Trigger	capture start	Free run
SERIAL DECODE OPTIONS	editopt	270	320	0	0	1	16777215	-1	Rear BNC	trig in / flow-control out	Off
SERIAL DECODE OPTIONS	button	20	366	150	0	1	16777215	-1	Auto Detect
SERIAL DECODE OPTIONS	button	310	366	150	0	1	16777215	-1	Lock Detected
SERIAL DECODE OPTIONS	button	470	366	140	0	1	16777215	-1	Apply
SERIAL DECODE OPTIONS	button	630	366	140	0	1	16777215	-1	Cancel
