screen	kind	x	y	w	h	font	color	fill	just	text
SERIAL DECODE	text	8	264	0	0	1	16777215	-1	0	
SERIAL DECODE	text	64	264	0	0	1	16777215	-1	0	
SERIAL DECODE	text	260	264	0	0	1	16777215	-1	0	
SERIAL DECODE	text	460	264	0	0	1	16777215	-1	0	
SERIAL DECODE	text	8	282	0	0	1	16777215	-1	0	
SERIAL DECODE	text	64	282	0	0	1	16777215	-1	0	
SERIAL DECODE	text	260	282	0	0	1	16777215	-1	0	
SERIAL DECODE	text	460	282	0	0	1	16777215	-1	0	
SERIAL DECODE	text	8	300	0	0	1	16777215	-1	0	
SERIAL DECODE	text	64	300	0	0	1	16777215	-1	0	
SERIAL DECODE	text	260	300	0	0	1	16777215	-1	0	
SERIAL DECODE	text	460	300	0	0	1	16777215	-1	0	
SERIAL DECODE	text	8	318	0	0	1	16777215	-1	0	
SERIAL DECODE	text	64	318	0	0	1	16777215	-1	0	
SERIAL DECODE	text	260	318	0	0	1	16777215	-1	0	
SERIAL DECODE	text	460	318	0	0	1	16777215	-1	0	
SERIAL DECODE	text	8	342	0	0	1	11579568	-1	0	FRAME TEXT pg 1/1 bytes 1-97/97 win 192 [done]
SERIAL DECODE	text	468	342	0	0	1	11579568	-1	0	log: frames00  460 B
SERIAL DECODE	text	677	342	0	0	1	16760832	-1	0	EXT TRIG
SERIAL DECODE	button	660	58	125	0	1	16777215	-1	0	Page Up
SERIAL DECODE	button	645	160	140	0	1	16777215	-1	0	Lock Rate
SERIAL DECODE	button	660	262	125	0	1	16777215	-1	0	Page Dn
SERIAL DECODE	text	770	141	0	0	1	11579568	-1	2	
SERIAL DECODE	button	8	362	120	0	1	16777215	-1	0	Capture
SERIAL DECODE	button	152	362	90	0	1	16777215	-1	0	View
SERIAL DECODE	button	266	362	100	0	1	16777215	-1	0	Mode
SERIAL DECODE	button	390	362	112	0	1	16777215	-1	0	NewLog
SERIAL DECODE	button	526	362	112	0	1	16777215	-1	0	Save
SERIAL DECODE	button	662	362	112	0	1	16777215	-1	0	Options
SERIAL DECODE OPTIONS	editopt	270	8	0	0	1	16777215	-1	0	Protocol	sets the wire parameters	UART
SERIAL DECODE OPTIONS	editnum	270	60	0	0	1	16777215	-1	0	Baud Rate	0 = auto-detect	0 Bd
SERIAL DECODE OPTIONS	editopt	270	112	0	0	1	16777215	-1	0	Data Bits	auto, or fix it	Auto (7/8)
SERIAL DECODE OPTIONS	editopt	270	164	0	0	1	16777215	-1	0	Parity	auto or fixed	Auto
SERIAL DECODE OPTIONS	editopt	270	216	0	0	1	16777215	-1	0	Polarity	idle level	Auto
SERIAL DECODE OPTIONS	editopt	270	268	0	0	1	16777215	-1	0	Trigger	capture start	Free run
SERIAL DECODE OPTIONS	editopt	270	320	0	0	1	16777215	-1	0	Rear BNC	trig in / flow-control out	Off
SERIAL DECODE OPTIONS	button	22	366	200	0	1	16777215	-1	0	Auto Detect
SERIAL DECODE OPTIONS	button	234	366	220	0	1	16777215	-1	0	Lock Detected
SERIAL DECODE OPTIONS	button	466	366	150	0	1	16777215	-1	0	Apply
SERIAL DECODE OPTIONS	button	628	366	150	0	1	16777215	-1	0	Cancel
